Carnegie Mellon University
University of Illinois at Urbana-Champaign
University of California - San Diego
Georgia Institute of Technology
University of Michigan
University of California - Berkeley
University of Washington
Massachusetts Institute of Technology
Cornell University
Stanford University
University of Maryland - College Park
Northeastern University
Purdue University
University of Texas at Austin
University of Pennsylvania
Columbia University
University of Wisconsin - Madison
Princeton University
New York University
University of California - Los Angeles
University of Southern California
University of Chicago
Stony Brook University
University of Massachusetts Amherst
University of California - Irvine
Rutgers University
Duke University
University of California - Riverside
Penn State University
Northwestern University
University of California - Santa Barbara
George Mason University
University of Utah
Ohio State University
Yale University
North Carolina State University
Texas A&M University
University of California - Santa Cruz
University of Virginia
Brown University
Harvard University
University of California - Davis
Boston University
University at Buffalo
University of Colorado Boulder
University of Illinois at Chicago
University of North Carolina
Arizona State University
Rice University
Indiana University
University of Minnesota
Johns Hopkins University
Oregon State University
Virginia Tech
University of Central Florida
Rochester Institute of Technology
University of Rochester
University of Texas at Dallas
Michigan State University
Washington University in St. Louis
University of Texas at Arlington
University of Notre Dame
University of Pittsburgh
University of California - Merced
University of Delaware
University of Florida
University of Connecticut
Binghamton University
Clemson University
Dartmouth College
NJIT
Vanderbilt University
Worcester Polytechnic Institute
College of William and Mary
Georgetown University
Iowa State University
Stevens Institute of Technology
California Institute of Technology
Florida State University
TTI Chicago
Tulane University
University of Georgia
Washington State University
CUNY
Emory University
Rensselaer Polytechnic Institute
Tufts University
UNC - Charlotte
University of Arizona
Colorado School of Mines
Drexel University
Florida International University
George Washington University
Illinois Institute of Technology
Lehigh University
Temple University
University of Nebraska
University of Oregon
University of South Carolina
University of South Florida
University of Tennessee
Wayne State University
Brigham Young University
Syracuse University
University of Maryland - Baltimore County
University of Houston
University of Iowa
University of Massachusetts Lowell
University of North Texas
Augusta University
Boston College
Brandeis University
Case Western Reserve University
Louisiana State University
Portland State University
University of Cincinnati
University of Kansas
University of Memphis
University of New Hampshire
University of Texas at San Antonio
Auburn University
Colorado State University
DePaul University
Kent State University
Michigan Technological University
Texas State University
UCCS
University of Kentucky
University of Louisiana - Lafayette
University of Nevada
University of New Mexico
Utah State University
Virginia Commonwealth University
Cleveland State University
Georgia State University
IUPUI
Kansas State University
New Mexico State University
Northern Arizona University
Texas Tech University
The University of Alabama
University of Arkansas
University of Hawaii at Manoa
University of Massachusetts Boston
University of Massachusetts Dartmouth
University of Nebraska - Omaha
University of Vermont
West Virginia University
Boise State University
Mississippi State University
Missouri S&T
Montana State University
Naval Postgraduate School
Ohio University
Oklahoma State University
Old Dominion University
RWTH Aachen
Saint Louis University
Towson University
UNC - Greensboro
University at Albany - SUNY
University of Alabama - Birmingham
University of Colorado - Denver
University of Denver
University of Louisville
University of Michigan-Dearborn
University of Missouri
University of Nevada Las Vegas
University of Oklahoma
University of Southern Mississippi
University of Texas - El Paso
University of Tulsa
Western Michigan University
Wichita State University
Air Force Institute of Technology
Florida Atlantic University
Florida Institute of Technology
Indiana State University
Missouri University of Technology
New Mexico Tech
Nova Southeastern University
OHSU
Oakland University
Southern Methodist University
University of Alabama - Huntsville
University of Arkansas - Little Rock
University of Idaho
University of Miami
University of Missouri - Kansas City
University of New Orleans
University of Rhode Island
University of Wisconsin - Milwaukee
University of Wyoming
